Path,Lines,Functions
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/query.py,4734,173
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/attributes.py,2024,114
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/strategies.py,2347,94
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/strategy_options.py,1593,71
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/properties.py,322,15
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/util.py,1322,51
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/events.py,2506,88
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/mapper.py,3380,113
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/scoping.py,204,13
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/session.py,3374,96
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/__init__.py,293,11
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/dynamic.py,438,35
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/exc.py,206,9
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/collections.py,1636,140
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/dependency.py,1278,53
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/deprecated_interfaces.py,572,34
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/descriptor_props.py,798,51
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/identity.py,360,53
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/evaluator.py,192,17
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/unitofwork.py,731,51
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/base.py,565,21
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/relationships.py,3239,107
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/orm/state.py,958,56
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/engine/interfaces.py,1324,67
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/engine/threadlocal.py,160,19
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/engine/strategies.py,314,17
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/engine/util.py,80,4
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/engine/reflection.py,1007,30
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/engine/__init__.py,481,2
/anaconda3//pkgs/sqlalchemy-1.3.5-py37h1de35cc_0/lib/python3.7/site-packages/sqlalchemy/engine/url.py,310,20
